geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
1410,-23.56386023452021,-46.662011726902826
1411,-23.56480403400366,-46.66451699639332
1412,-23.564227369409686,-46.66663309347044
1413,-23.562393663338888,-46.66462742485141
1414,-23.56074275575626,-46.664693795314165
1415,-23.557744127988823,-46.663202791443695
1416,-23.560257436854428,-46.667819985573274
1417,-23.561598866495498,-46.666202710514185
1418,-23.569709411818376,-46.648470652864766
1419,-23.564171817935215,-46.655402039413694
1420,-23.56496201637429,-46.656248516374276
1421,-23.562732814040068,-46.66092521891052
1422,-23.563987507213355,-46.66099346530384
1423,-23.56976284096028,-46.65683162476192
1424,-23.567386012767606,-46.66201962184773
1425,-23.572856965303842,-46.6592021873449
1426,-23.566247308355923,-46.66602547085809
1427,-23.573185889260767,-46.66156307369149
1428,-23.574264066882154,-46.66186049278664
1429,-23.57677555870216,-46.663292991805676
1430,-23.5752158821773,-46.66563565292287
1431,-23.575940239944558,-46.66520148050951
1432,-23.576839769216363,-46.665836154379974
1433,-23.577661519562607,-46.66914370858096
1434,-23.5763167374344,-46.671132211899184
1435,-23.579229666945576,-46.67028460851754
1436,-23.57249501637429,-46.667432996393316
1437,-23.572404732731197,-46.6720207076
1438,-23.570325577009708,-46.672791594927546
1439,-23.565875311962603,-46.673390660294785
1440,-23.568515978908177,-46.67932001664842
1441,-23.575656697760916,-46.68951882930351
1442,-23.56699321925677,-46.67793485374222
1443,-23.56786525506377,-46.68471805799536
1444,-23.571536165416365,-46.68422691257428
1445,-23.57313081043339,-46.68804831917596
1446,-23.575398783931544,-46.67571042477932
1447,-23.572517679150597,-46.678606652120926
1448,-23.578402590139454,-46.67817482139765
1449,-23.576516025535227,-46.680682717251415
1450,-23.575887063275477,-46.68516203220032
1451,-23.575761552028737,-46.688015150425336
1452,-23.57733419816494,-46.68673843712857
1453,-23.58414510828073,-46.68646270038665
1454,-23.58291018567147,-46.68776135068381
1455,-23.580333156818018,-46.69181705037794
1456,-23.576808499307518,-46.6907878509436
1457,-23.57433837163139,-46.69253938758733
1472,-23.57054369248079,-46.69129667943905
1489,-23.57664998889148,-46.68740004775216
1501,-23.55259161587513,-46.63541306142929
1502,-23.55467350531036,-46.63552025265517
1503,-23.559392946274585,-46.63768411445943
1504,-23.56573442894858,-46.6394994152158
1505,-23.555358047319537,-46.63144751276761
1506,-23.559004540106173,-46.63496090175424
1507,-23.558201539269447,-46.63147565175424
1508,-23.561483773241413,-46.63649401442673
1509,-23.56749152983439,-46.63563156939232
1510,-23.55619865667379,-46.63379843519533
1511,-23.56260386955392,-46.63281407271053
1512,-23.553648628368613,-46.62916622176693
1513,-23.556917567300506,-46.631952301070456
1514,-23.554554548430385,-46.62886776089216
1516,-23.558968382465764,-46.61524563170116
1517,-23.559822744373633,-46.62444391479598
1518,-23.55947617055225,-46.62357091708981
1519,-23.56116864723873,-46.62378912059265
1520,-23.55951223868948,-46.61977963113858
1521,-23.56112608881069,-46.6192640327486
1522,-23.56021401941838,-46.61672529690118
1523,-23.56412390590919,-46.61636937414156
1524,-23.567112512345783,-46.616307663338894
1525,-23.56444604566042,-46.63469533618496
1526,-23.565541316406005,-46.63096621204341
1527,-23.562581574513874,-46.62833075985341
1528,-23.56463914820535,-46.62627337150148
1529,-23.5688472717122,-46.63494157092152
1530,-23.56920526624445,-46.62880686948179
1531,-23.57106818595992,-46.63265119124003
1532,-23.571664868168945,-46.635615801690825
1533,-23.571333701915854,-46.63824768081396
1534,-23.56869553926945,-46.62646546794392
1535,-23.572119688037397,-46.625417150989634
1536,-23.568637190951584,-46.623406336949564
1537,-23.569540040524537,-46.622100969386665
1538,-23.580310185610458,-46.62454658511668
1539,-23.571578567026386,-46.62034739403609
1540,-23.565572077442397,-46.62189758021236
1541,-23.568722298084143,-46.618733572710525
1542,-23.57106559811585,-46.62448894102369
1543,-23.575466602977613,-46.62140066822287
1544,-23.576957496537545,-46.62142270760002
1545,-23.58112435053957,-46.6178758329102
1546,-23.57959847821568,-46.62254380350848
1547,-23.58268123282691,-46.6207750896474
1548,-23.57718869759076,-46.61370070420966
1549,-23.576638819405943,-46.61601386332151
1550,-23.57381229586244,-46.61617543505108
1551,-23.572864152374617,-46.61231750416927
1552,-23.571146043020363,-46.61111143247717
1553,-23.57430307573513,-46.60925096788949
2009,-23.515799103830265,-46.64113909097136
2010,-23.508647497085803,-46.62621608562863
2011,-23.507180947544565,-46.6262897693802
2012,-23.513631579856145,-46.62950760331549
2013,-23.50220016541636,-46.6347327799065
2016,-23.50118744257222,-46.627306713644735
2017,-23.500321507213357,-46.63584851276761
2018,-23.4951670582838,-46.629938389116525
2019,-23.498279999999994,-46.63023060061168
2020,-23.496668848936185,-46.63267905161871
2021,-23.498316524006004,-46.63581236081134
2022,-23.50374239107844,-46.63824001804726
2028,-23.50801347996321,-46.617514281709845
2029,-23.509891955777412,-46.617959869544144
2030,-23.504398054538573,-46.624627022882166
2031,-23.5119253979115,-46.6253165150725
2032,-23.51077923487879,-46.623923552201184
2033,-23.499687064804675,-46.612303192480795
2034,-23.50420648194742,-46.6236414921749
2035,-23.495812658621357,-46.62243722641233
2036,-23.50112065848872,-46.6203512865544
2037,-23.49990752207277,-46.62052079516994
2038,-23.496298486712217,-46.62356025207747
2039,-23.492799200868866,-46.62192141874891
2040,-23.48963402132936,-46.622021897441336
2041,-23.488973062228776,-46.62064292353855
2042,-23.495568756481344,-46.615384692413315
2043,-23.490223040798668,-46.617224474492815
2044,-23.49568082347514,-46.61887747807146
2045,-23.49648957195567,-46.616537951641725
2046,-23.492516857060444,-46.612034767505286
2047,-23.51759267512555,-46.61726286101337
2049,-23.514166590335094,-46.61736559414439
2050,-23.517227425341893,-46.61178187155927
2051,-23.512218239107845,-46.608722793294504
2052,-23.51152876519133,-46.607128170840696
2053,-23.51562097807146,-46.60419862406944
2054,-23.517797808197223,-46.607091647382944
2055,-23.514415916036732,-46.605133765061424
2056,-23.511841208436728,-46.604098762767606
2060,-23.519256620327738,-46.60345591763806
2064,-23.51707022952855,-46.5993218083559
2065,-23.507884938109505,-46.60554417816963
2066,-23.508686608661765,-46.60704480648046
2067,-23.50726541548847,-46.60271762427145
2068,-23.503868999999995,-46.61212479302037
2069,-23.50541004302036,-46.613767588954914
2071,-23.50438331763271,-46.6071977412335
2072,-23.49993667110052,-46.60427196058632
2073,-23.501797407438396,-46.60748711851517
2074,-23.50406647654225,-46.603369472791336
2075,-23.503607759362943,-46.60135792951116
2076,-23.504635372468115,-46.59911076395058
2077,-23.502424494864105,-46.59717644532287
2078,-23.501720210658437,-46.595045462115536
2079,-23.499064581741557,-46.6064044730798
2080,-23.497612575350594,-46.60588084975389
2081,-23.496102481822373,-46.604177104218365
2082,-23.49470125757394,-46.60678683166944
2083,-23.49419518373822,-46.59758626464306
2084,-23.4976454521322,-46.59971225007211
2085,-23.4974436813723,-46.61260908702167
2088,-23.50424025971884,-46.620742066583865
2089,-23.51709448459233,-46.616673100755904
2110,-23.519571487645177,-46.59530197477013
2111,-23.518439550569084,-46.5932984873766
2112,-23.520850095512493,-46.593126394480095
2113,-23.521406221037168,-46.592062665398366
2114,-23.52228692176485,-46.59078810629585
2115,-23.526499508561297,-46.5916432260661
2116,-23.51906498112988,-46.58460977393391
2117,-23.519811525535225,-46.59376134339034
2118,-23.51526342936693,-46.59291223327074
2119,-23.511942,-46.59285820564648
2120,-23.510620424182306,-46.594217747359366
2121,-23.511894317790983,-46.590247000692486
2122,-23.512150822959867,-46.58356862836862
2123,-23.51194017707312,-46.57923704648282
2124,-23.50596583126541,-46.57781476715322
2125,-23.510176637803664,-46.58742229961336
2126,-23.5070849023025,-46.59173845989383
2127,-23.502762534826054,-46.588408797737884
2128,-23.505190098115854,-46.59427113509149
2129,-23.5039587328611,-46.588758508814685
2130,-23.50830120122337,-46.58354303274857
2131,-23.50410130793756,-46.58254442561602
2132,-23.50140196280802,-46.57731480697093
2133,-23.4992505858965,-46.5848862901783
2134,-23.49918202192854,-46.57851628899533
2135,-23.498762554811556,-46.5880495441312
2136,-23.49799627477061,-46.582767719324536
2137,-23.49789338663504,-46.57642462920533
2138,-23.494527602415026,-46.57459130966878
2139,-23.490544054677123,-46.573733800781994
2141,-23.489193683386937,-46.57109031223673
2142,-23.5100047784509,-46.577215288649086
2143,-23.506750508194305,-46.575106755554245
2144,-23.502871592561604,-46.57083605675562
2145,-23.502141881153726,-46.56601770663338
2146,-23.50095702331352,-46.57088226395057
2147,-23.498361926574916,-46.565166700263546
2150,-23.49355183055859,-46.568382003606686
2151,-23.497048047463764,-46.569506953719184
2152,-23.49804561226844,-46.57257691938361
2161,-23.49007470302671,-46.56894290049915
2162,-23.4904124074384,-46.562503456719824
2166,-23.525060091869104,-46.584156027756926
2167,-23.522462730300536,-46.58154805629277
2168,-23.520101007457864,-46.57970414962962
2169,-23.5210511286962,-46.57825175520801
2170,-23.525379999999927,-46.576089999999965
2174,-23.52298034571991,-46.57258849209415
2175,-23.515196383294477,-46.57453612822437
2176,-23.5131705992267,-46.57298967860234
2177,-23.511506887875782,-46.56917911601936
2178,-23.52152283679088,-46.5705920111085
2179,-23.52189976131052,-46.56816730078198
2180,-23.519632489728217,-46.56585772085809
2181,-23.519734707479067,-46.5633667924
2185,-23.51635929194087,-46.56782303996194
2186,-23.51424059367245,-46.569392478836065
2187,-23.51561780941832,-46.56479444504872
2188,-23.510133953098823,-46.5666304632985
2189,-23.507942521784308,-46.56850169608748
2190,-23.5073682192535,-46.56413015590919
2201,-23.48496454763939,-46.59166025540885
2202,-23.492819497996617,-46.59477393228112
2203,-23.49192999194992,-46.591843973844405
2204,-23.48636752553523,-46.59139125
2205,-23.48795662254023,-46.5904954671793
2206,-23.483662595620014,-46.595897454902165
2207,-23.485869985284825,-46.58770552761269
2208,-23.482737115182623,-46.58820883028448
2209,-23.485064826913263,-46.582881366042514
2210,-23.48315244601536,-46.58263013488948
2211,-23.497402861503843,-46.593727543712845
2212,-23.495191386346573,-46.58915327032722
2213,-23.49677497293556,-46.58814172085809
2214,-23.493127144381795,-46.58716875464542
2215,-23.490987747157924,-46.58363230974089
2216,-23.49338475437128,-46.57900148987243
2217,-23.490460865110524,-46.58091172162269
